feature_set	n_features	model	roc_auc_mean	roc_auc_sd	pr_auc_mean	pr_auc_sd	features
top5	5	LogisticRegression	0.6734801633932068	0.037830741313692295	0.1495729261416176	0.020749962872779023	is_transporter_like,mean_tmd_gap,tmd_negative_fraction_std,n_tmd,loc_er
top15	15	LogisticRegression	0.6331108499804152	0.06417865724209795	0.1411923143687188	0.050925197129891984	is_transporter_like,mean_tmd_gap,tmd_negative_fraction_std,n_tmd,loc_er,tmd_positive_fraction_mean,tmd_positive_fraction_std,is_transferase_like,tmd_hydrophobicity_mean,tmd_hydrophobicity_min,mean_tmd_length_aa,tmd_length_max,protein_KR_fraction,protein_charge_balance_pos_minus_neg,mean_relative_tmd_position
top10	10	LogisticRegression	0.6236300710648537	0.07325309826130538	0.13657055952797087	0.03472406890868223	is_transporter_like,mean_tmd_gap,tmd_negative_fraction_std,n_tmd,loc_er,tmd_positive_fraction_mean,tmd_positive_fraction_std,is_transferase_like,tmd_hydrophobicity_mean,tmd_hydrophobicity_min
top20	20	LogisticRegression	0.6234041743606961	0.0715653585258293	0.1258677979725543	0.03570422179911207	is_transporter_like,mean_tmd_gap,tmd_negative_fraction_std,n_tmd,loc_er,tmd_positive_fraction_mean,tmd_positive_fraction_std,is_transferase_like,tmd_hydrophobicity_mean,tmd_hydrophobicity_min,mean_tmd_length_aa,tmd_length_max,protein_KR_fraction,protein_charge_balance_pos_minus_neg,mean_relative_tmd_position,max_tmd_gap,tmd_charge_balance_mean,tmd_length_min,tmd_hydrophobicity_max,tmd_density
top10	10	RandomForest	0.6134836886576017	0.020537069103542742	0.10729357216761456	0.013924693173496568	is_transporter_like,mean_tmd_gap,tmd_negative_fraction_std,n_tmd,loc_er,tmd_positive_fraction_mean,tmd_positive_fraction_std,is_transferase_like,tmd_hydrophobicity_mean,tmd_hydrophobicity_min
top20	20	RandomForest	0.6128542331151027	0.06565732895476549	0.12263873137345897	0.028005709447100728	is_transporter_like,mean_tmd_gap,tmd_negative_fraction_std,n_tmd,loc_er,tmd_positive_fraction_mean,tmd_positive_fraction_std,is_transferase_like,tmd_hydrophobicity_mean,tmd_hydrophobicity_min,mean_tmd_length_aa,tmd_length_max,protein_KR_fraction,protein_charge_balance_pos_minus_neg,mean_relative_tmd_position,max_tmd_gap,tmd_charge_balance_mean,tmd_length_min,tmd_hydrophobicity_max,tmd_density
top20	20	XGBoost	0.6038071176766829	0.0631715929420239	0.12580875627833962	0.039286922741401074	is_transporter_like,mean_tmd_gap,tmd_negative_fraction_std,n_tmd,loc_er,tmd_positive_fraction_mean,tmd_positive_fraction_std,is_transferase_like,tmd_hydrophobicity_mean,tmd_hydrophobicity_min,mean_tmd_length_aa,tmd_length_max,protein_KR_fraction,protein_charge_balance_pos_minus_neg,mean_relative_tmd_position,max_tmd_gap,tmd_charge_balance_mean,tmd_length_min,tmd_hydrophobicity_max,tmd_density
top15	15	RandomForest	0.5993759722455374	0.05593394910673068	0.1098694713665352	0.0195047228390284	is_transporter_like,mean_tmd_gap,tmd_negative_fraction_std,n_tmd,loc_er,tmd_positive_fraction_mean,tmd_positive_fraction_std,is_transferase_like,tmd_hydrophobicity_mean,tmd_hydrophobicity_min,mean_tmd_length_aa,tmd_length_max,protein_KR_fraction,protein_charge_balance_pos_minus_neg,mean_relative_tmd_position
top30	30	RandomForest	0.5989284315371272	0.04641547575312472	0.13294294095154138	0.03056510130470718	is_transporter_like,mean_tmd_gap,tmd_negative_fraction_std,n_tmd,loc_er,tmd_positive_fraction_mean,tmd_positive_fraction_std,is_transferase_like,tmd_hydrophobicity_mean,tmd_hydrophobicity_min,mean_tmd_length_aa,tmd_length_max,protein_KR_fraction,protein_charge_balance_pos_minus_neg,mean_relative_tmd_position,max_tmd_gap,tmd_charge_balance_mean,tmd_length_min,tmd_hydrophobicity_max,tmd_density,min_relative_tmd_position,protein_hydrophobicity_mean,tmd_aromatic_fraction_std,tmd_negative_fraction_mean,tmd_hydrophobicity_std,protein_DE_fraction,tmd_length_std,tmd_aromatic_fraction_mean,protein_aromatic_fraction,protein_negative_fraction
top30	30	LogisticRegression	0.5948665435621957	0.0639902617875864	0.11734004565366585	0.03742880322487463	is_transporter_like,mean_tmd_gap,tmd_negative_fraction_std,n_tmd,loc_er,tmd_positive_fraction_mean,tmd_positive_fraction_std,is_transferase_like,tmd_hydrophobicity_mean,tmd_hydrophobicity_min,mean_tmd_length_aa,tmd_length_max,protein_KR_fraction,protein_charge_balance_pos_minus_neg,mean_relative_tmd_position,max_tmd_gap,tmd_charge_balance_mean,tmd_length_min,tmd_hydrophobicity_max,tmd_density,min_relative_tmd_position,protein_hydrophobicity_mean,tmd_aromatic_fraction_std,tmd_negative_fraction_mean,tmd_hydrophobicity_std,protein_DE_fraction,tmd_length_std,tmd_aromatic_fraction_mean,protein_aromatic_fraction,protein_negative_fraction
top10	10	XGBoost	0.5919259414694198	0.059643842893914154	0.11699565845001514	0.03272064000587407	is_transporter_like,mean_tmd_gap,tmd_negative_fraction_std,n_tmd,loc_er,tmd_positive_fraction_mean,tmd_positive_fraction_std,is_transferase_like,tmd_hydrophobicity_mean,tmd_hydrophobicity_min
top15	15	XGBoost	0.5832942756421018	0.05986477982649217	0.11221162958633153	0.0266082125909912	is_transporter_like,mean_tmd_gap,tmd_negative_fraction_std,n_tmd,loc_er,tmd_positive_fraction_mean,tmd_positive_fraction_std,is_transferase_like,tmd_hydrophobicity_mean,tmd_hydrophobicity_min,mean_tmd_length_aa,tmd_length_max,protein_KR_fraction,protein_charge_balance_pos_minus_neg,mean_relative_tmd_position
top30	30	XGBoost	0.5778881428011864	0.05621028918695496	0.13297011952704932	0.039734783403155984	is_transporter_like,mean_tmd_gap,tmd_negative_fraction_std,n_tmd,loc_er,tmd_positive_fraction_mean,tmd_positive_fraction_std,is_transferase_like,tmd_hydrophobicity_mean,tmd_hydrophobicity_min,mean_tmd_length_aa,tmd_length_max,protein_KR_fraction,protein_charge_balance_pos_minus_neg,mean_relative_tmd_position,max_tmd_gap,tmd_charge_balance_mean,tmd_length_min,tmd_hydrophobicity_max,tmd_density,min_relative_tmd_position,protein_hydrophobicity_mean,tmd_aromatic_fraction_std,tmd_negative_fraction_mean,tmd_hydrophobicity_std,protein_DE_fraction,tmd_length_std,tmd_aromatic_fraction_mean,protein_aromatic_fraction,protein_negative_fraction
top5	5	XGBoost	0.5540839068882547	0.03569181549173403	0.10367494013746217	0.007717011736350081	is_transporter_like,mean_tmd_gap,tmd_negative_fraction_std,n_tmd,loc_er
top5	5	RandomForest	0.435402159923899	0.05138266202806709	0.07459472686605123	0.011732468748928193	is_transporter_like,mean_tmd_gap,tmd_negative_fraction_std,n_tmd,loc_er
